Zip Code,Population,Group Visits,Individual Visits,Visits per 10000
28714,16397,1,2.87,1.750320181
28723,12297,1,2.87,2.333902578
28732,19158,1,2.87,1.498068692
28745,697,2,5.74,82.35294118
28779,16586,1,2.87,1.730375015
28781,760,1,2.87,37.76315789
28783,1473,1,2.87,19.48404616
28787,21948,3,8.61,3.922908693
28789,5804,1,2.87,4.94486561
28801,15148,2,5.74,3.789279113
28804,23964,3,8.61,3.592889334
28805,18554,4,11.48,6.187345047
28806,44621,1,2.87,0.643194908
28902,1398,1,2.87,20.52932761
29063,36341,1,2.87,0.789741614
29204,18059,1,2.87,1.589235284
29210,39299,2,5.74,1.460596962
29356,8893,1,2.87,3.227257393
29456,37577,1,2.87,0.763765069
29464,51287,2,5.74,1.119191998
29466,42316,1,2.87,0.678230457
29621,44601,1,2.87,0.64348333
29640,32191,1,2.87,0.89155354
29650,38721,2,5.74,1.482399731
29680,34784,1,2.87,0.825091996
29690,22912,1,2.87,1.252618715
29693,14614,1,2.87,1.963870261
29708,40227,1,2.87,0.713451165
30009,19256,1,2.87,1.490444537
30014,39247,1,2.87,0.731266084
30019,50761,2,5.74,1.130789386
30024,87115,2,5.74,0.658899156
30030,32364,3,8.61,2.660363367
30032,44697,3,8.61,1.926303779
30033,33189,1,2.87,0.864744343
30041,72489,2,5.74,0.79184428
30060,39890,1,2.87,0.719478566
30062,66889,1,2.87,0.429069055
30064,50568,1,2.87,0.567552602
30066,62417,1,2.87,0.459810629
30068,34870,1,2.87,0.823057069
30072,625,1,2.87,45.92
30075,56161,3,8.61,1.533092359
30097,50308,1,2.87,0.570485807
30102,43463,1,2.87,0.660331776
30114,59139,1,2.87,0.48529735
30214,32135,1,2.87,0.893107204
30265,36697,1,2.87,0.782080279
30276,18375,1,2.87,1.561904762
30306,25053,4,11.48,4.582285555
30308,22121,1,2.87,1.297409701
30309,31856,4,11.48,3.603716725
30311,33568,1,2.87,0.854980934
30316,33625,3,8.61,2.560594796
30317,13774,1,2.87,2.083635836
30318,60392,1,2.87,0.475228507
30319,44026,3,8.61,1.955662563
30327,24789,1,2.87,1.157771592
30342,32494,3,8.61,2.649719948
30501,29779,1,2.87,0.963766413
30518,56149,2,5.74,1.022280005
30525,7937,1,2.87,3.615975809
30542,37575,1,2.87,0.763805722
30601,25036,1,2.87,1.146349257
30633,8711,2,5.74,6.589369762
30752,9602,1,2.87,2.988960633
30904,24145,1,2.87,1.188651895
30907,50964,2,5.74,1.126285221
31404,31530,1,2.87,0.910244212
31405,38069,1,2.87,0.753894245
31411,9378,2,5.74,6.12070804
32003,29142,1,2.87,0.984832887
32043,30369,2,5.74,1.890085284
32064,7495,1,2.87,3.82921948
32073,43527,1,2.87,0.659360856
32080,21889,1,2.87,1.311160857
32081,24672,1,2.87,1.163261997
32128,20968,1,2.87,1.368752385
32162,51905,1,2.87,0.552933243
32168,30058,1,2.87,0.95482068
32205,29605,1,2.87,0.969430839
32211,34168,1,2.87,0.839967221
32216,42847,2,5.74,1.339650384
32233,23980,1,2.87,1.196830692
32244,63292,1,2.87,0.453453833
32259,62169,1,2.87,0.461644871
32266,7217,1,2.87,3.976721629
32308,23355,1,2.87,1.228858917
32312,34304,1,2.87,0.836637127
32405,28158,3,8.61,3.057745579
32408,17479,1,2.87,1.641970364
32507,31215,1,2.87,0.919429761
32526,43029,1,2.87,0.666992029
32536,25807,2,5.74,2.224202736
32548,22399,1,2.87,1.281307201
32578,35075,3,8.61,2.454739843
32583,31047,1,2.87,0.924404934
32603,7367,1,2.87,3.895751323
32607,35420,1,2.87,0.81027668
32608,55540,1,2.87,0.516744689
32618,7183,1,2.87,3.995545037
32701,23265,1,2.87,1.233612723
32707,37704,3,8.61,2.283577339
32714,38049,1,2.87,0.75429052
32750,25261,1,2.87,1.136138712
32751,23230,3,8.61,3.70641412
32789,26399,3,8.61,3.261487178
32801,17728,1,2.87,1.618907942
32804,19084,1,2.87,1.503877594
32809,29478,4,11.48,3.894429744
32817,40376,1,2.87,0.710818308
32835,45380,2,5.74,1.264874394
32920,9984,1,2.87,2.874599359
32951,11525,1,2.87,2.490238612
33015,65645,1,2.87,0.437200091
33131,26213,1,2.87,1.094876588
33137,25763,2,5.74,2.228001397
33139,36286,1,2.87,0.790938654
33143,34853,1,2.87,0.823458526
33145,29737,2,5.74,1.930255238
33180,35062,1,2.87,0.818549997
33316,12669,1,2.87,2.265372168
33317,37590,1,2.87,0.763500931
33319,51891,1,2.87,0.553082423
33331,23016,3,8.61,3.740875912
33401,31302,2,5.74,1.833748642
33414,59802,3,8.61,1.439751179
33432,22061,1,2.87,1.300938307
33441,29311,1,2.87,0.979154584
33458,55083,2,5.74,1.042063795
33477,12683,1,2.87,2.26287156
33486,22947,1,2.87,1.250708154
33513,12204,1,2.87,2.351687971
33514,1783,1,2.87,16.09646663
33548,7708,1,2.87,3.723404255
33549,17816,1,2.87,1.61091154
33556,30547,2,5.74,1.879071595
33572,22395,2,5.74,2.563072114
33578,58854,1,2.87,0.487647399
33609,17902,1,2.87,1.60317283
33612,49452,1,2.87,0.580360754
33613,38801,1,2.87,0.739671658
33624,38929,1,2.87,0.73723959
33647,69457,1,2.87,0.413205292
33701,19137,2,5.74,2.999425197
33702,29996,1,2.87,0.956794239
33704,16031,1,2.87,1.79028133
33707,24646,2,5.74,2.328978333
33708,16034,2,5.74,3.579892728
33712,26395,1,2.87,1.087327145
33713,31321,1,2.87,0.916318125
33765,13844,3,8.61,6.21930078
33803,29082,2,5.74,1.973729455
33872,13167,1,2.87,2.179691653
33905,37692,1,2.87,0.761434787
33908,43110,2,5.74,1.331477615
33913,28216,1,2.87,1.017153388
34102,10496,1,2.87,2.734375
34202,26797,1,2.87,1.071015412
34212,24266,1,2.87,1.1827248
34231,31492,1,2.87,0.911342563
34238,22050,1,2.87,1.301587302
34471,27632,4,11.48,4.154603358
34491,31545,1,2.87,0.909811381
34653,33381,2,5.74,1.719541056
34683,33453,1,2.87,0.857920067
34746,56344,1,2.87,0.509371007
34760,986,1,2.87,29.10750507
34786,46553,1,2.87,0.616501622
34787,88636,1,2.87,0.3237962
34953,77023,1,2.87,0.372615972
35117,6407,1,2.87,4.479475574
35125,10821,1,2.87,2.652250254
35205,20137,1,2.87,1.425237126
35213,14964,2,5.74,3.835872761
35226,38471,4,11.48,2.98406592
35242,57008,1,2.87,0.503438114
35244,37448,3,8.61,2.299188208
35748,7794,1,2.87,3.682319733
35758,48192,3,8.61,1.786603586
35763,21889,1,2.87,1.311160857
35907,9270,2,5.74,6.19201726
